command	aliases	provider	http_method	endpoint	request_body	target_fields	required_capability	required_permissions	operation_class	reversible	idempotent	async_task	guest_disruption	data_loss_risk	host_or_cluster_risk	retry_policy	confirmation_policy	dry_run_behavior	success_criteria	unknown_outcome_behavior	recovery	source_locations	test_locations
GetVMFirewallRules		proxmox	GET	/nodes/{node}/qemu/{vmid}/firewall/rules	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:572	client/provider/cli tests; see coverage ledger and test matrix
GetHAStatus		proxmox	GET	/cluster/ha/status	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:588	client/provider/cli tests; see coverage ledger and test matrix
GetHACurrent		proxmox	GET	/cluster/ha/current	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:597	client/provider/cli tests; see coverage ledger and test matrix
GetSDNZones		proxmox	GET	/cluster/sdn/zones	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:606	client/provider/cli tests; see coverage ledger and test matrix
GetSDNVNets		proxmox	GET	/cluster/sdn/vnets	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:615	client/provider/cli tests; see coverage ledger and test matrix
GetVMSnapshotConfig		proxmox	GET	/nodes/{node}/qemu/{vmid}/snapshot/{name}/config	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:624	client/provider/cli tests; see coverage ledger and test matrix
GetContainerSnapshotConfig		proxmox	GET	/nodes/{node}/lxc/{vmid}/snapshot/{name}/config	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	observational	no	yes	no	no	none	no	GET retry policy only	none	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:643	client/provider/cli tests; see coverage ledger and test matrix
vmMutation		proxmox	POST	/nodes/{node}/qemu/{vmid}/status/	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:745	client/provider/cli tests; see coverage ledger and test matrix
ctMutation		proxmox	POST	/nodes/{node}/lxc/{vmid}/status/	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:761	client/provider/cli tests; see coverage ledger and test matrix
VMConfigUpdate		proxmox	POST	/nodes/{node}/qemu/{vmid}/config	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:779	client/provider/cli tests; see coverage ledger and test matrix
CTConfigUpdate		proxmox	POST	/nodes/{node}/lxc/{vmid}/config	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	reversible_mutation	varies	no	yes	possible	no	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:795	client/provider/cli tests; see coverage ledger and test matrix
VMDelete		proxmox	DELETE	/nodes/{node}/qemu/{vmid}?purge=1	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:813	client/provider/cli tests; see coverage ledger and test matrix
CTDelete		proxmox	DELETE	/nodes/{node}/lxc/{vmid}	structured form/query/body from typed request or none	node/vmid/storage/id fields from method parameters and request structs	provider/domain capability interface; see architecture inventory	Proxmox permission varies by endpoint; see docs/cli-reference.md	potentially_data_destructive	varies	no	yes	possible	yes	possible	DoMutation no automatic retry	none for client; enforced by CLI safety tier for reachable mutations	no generic dry-run transport; CLI must avoid mutation before client call	HTTP 200/201/202 with Proxmox data or UPID decoded successfully	mutation transport failure after possible send is treated as unknown by task/operation result paths when applicable	inspect returned UPID/task; do not blindly repeat non-idempotent mutations	internal/provider/proxmox/client/client.go:829	client/provider/cli tests; see coverage ledger and test matrix
